fips,year,s02
6113,2007,1.0921025
6113,2012,.72463793
6115,1997,1.7995949
6115,2002,1.518342
6115,2007,1.0578896
6115,2012,.6794259
8001,1997,4.251987
8001,2002,3.1794653
8001,2007,2.6362038
8001,2012,1.6288739
8003,1997,3.4605916
8003,2002,2.2032804
8003,2007,1.3249642
8003,2012,.9834975
8005,1997,3.9456506
8005,2002,3.5176094
8005,2007,2.6362038
8005,2012,1.6275911
8007,1997,4.2734318
8007,2002,1.376092
8007,2007,.70824528
8007,2012,.64962351
8009,1997,1.5877339
8009,2002,.99634337
8009,2007,1.487446
8009,2012,.48805588
8011,1997,2.1664152
8011,2002,2.7697735
8011,2007,2.1537039
8011,2012,1.3608605
8013,1997,3.5870321
8013,2002,3.4778533
8013,2007,2.3763199
8013,2012,1.4005121
8015,1997,3.0957372
8015,2002,2.5838599
8015,2007,1.6547828
8015,2012,.8145839
8017,1997,2.2280281
8017,2002,2.68542
8017,2007,2.1128662
8017,2012,1.3128345
8019,1997,3.1017759
8019,2002,3.5469832
8019,2007,2.2995622
8019,2012,1.2694042
8021,1997,3.7677624
8021,2002,2.0540874
8021,2007,1.2032713
8021,2012,.91824371
8023,1997,3.4440455
8023,2002,2.2077498
8023,2007,1.3289416
8023,2012,.97837925
8025,1997,2.0518544
8025,2002,3.4918075
8025,2007,2.6362038
8025,2012,1.8379644
8027,1997,2.8341877
8027,2002,2.5029919
8027,2007,1.5820442
8027,2012,1.0416863
8029,1997,4.0386348
8029,2002,2.2114685
8029,2007,1.1800447
8029,2012,.58804339
8031,1997,5.2355299
8031,2002,3.9327481
8031,2007,2.6362038
8031,2012,1.7711122
8033,1997,5.9955273
8033,2002,1.5122421
8033,2007,.83173603
8033,2012,.48552537
8035,1997,3.0288563
8035,2002,3.5462086
8035,2007,2.6362038
8035,2012,1.5357664
8037,1997,2.5703475
8037,2002,3.5107858
8037,2007,1.8649547
8037,2012,.92370886
8039,1997,2.3038025
8039,2002,3.482367
8039,2007,2.6362038
8039,2012,1.2810253
8041,1997,1.6563126
8041,2002,3.5078938
8041,2007,2.6362038
8041,2012,1.2355356
8043,1997,1.9878281
8043,2002,2.6679606
8043,2007,1.8462548
8043,2012,1.0779202
8045,1997,3.9078779
8045,2002,2.4447424
8045,2007,1.2622913
8045,2012,.67283654
8047,1997,3.3348398
8047,2002,3.5438702
8047,2007,2.3415627
8047,2012,1.3063347
8049,1997,2.8712699
8049,2002,3.5082092
8049,2007,2.013299
8049,2012,1.0399265
8051,1997,3.6983342
8051,2002,2.3147695
8051,2007,1.4214703
8051,2012,.71061087
8053,1997,4.2104759
8053,2002,1.9564854
8053,2007,1.1307391
8053,2012,.75757515
8055,1997,2.1190097
8055,2002,2.3521268
8055,2007,1.5598927
8055,2012,1.2489476
8057,1997,2.78111
8057,2002,3.492841
8057,2007,1.5135887
8057,2012,.6072486
8059,1997,4.3346848
8059,2002,3.6999605
8059,2007,2.6362038
8059,2012,1.6521705
8061,1997,2.1867051
8061,2002,2.6855278
8061,2007,2.1127882
8061,2012,1.3129038
8063,1997,2.3572638
8063,2002,2.7541177
8063,2007,2.1467235
8063,2012,1.0812153
8065,1997,2.4707592
8065,2002,3.0763001
8065,2007,1.6248971
8065,2012,1.0225525
8067,1997,4.795445
8067,2002,1.389679
8067,2007,.72196138
8067,2012,.58505547
8069,1997,3.0510094
8069,2002,3.4695499
8069,2007,2.0999088
8069,2012,1.0850749
8071,1997,2.1213279
8071,2002,3.4954739
8071,2007,2.6362038
8071,2012,1.3838146
8073,1997,2.240839
8073,2002,3.4795663
8073,2007,2.6362038
8073,2012,1.1357839
8075,1997,2.6119916
8075,2002,3.4670684
8075,2007,2.6362038
8075,2012,.88981074
8077,1997,4.6955414
8077,2002,2.213748
8077,2007,1.1530094
8077,2012,.45669052
8079,1997,4.04772
8079,2002,1.9861039
8079,2007,1.1511741
8079,2012,.77981323
8081,1997,5.0750823
8081,2002,3.5137973
8081,2007,1.1430491
8081,2012,.85059363
8083,1997,6.2433453
8083,2002,1.5629823
8083,2007,.87446493
8083,2012,.56066704
8085,1997,4.3139429
8085,2002,2.0587614
8085,2007,1.2175413
8085,2012,.59665626
8087,1997,2.7460029
8087,2002,3.4537597
8087,2007,2.6362038
8087,2012,1.015252
8089,1997,2.0821135
8089,2002,3.4918175
8089,2007,2.6362038
8089,2012,1.8381107
8091,1997,4.3124661
8091,2002,2.0049713
8091,2007,1.1734675
8091,2012,.70449233
8093,1997,2.4004538
8093,2002,3.530663
8093,2007,2.6362038
8093,2012,1.1844193
8095,1997,2.5255859
8095,2002,2.8011906
8095,2007,2.1711516
8095,2012,1.0032248
8097,1997,3.5388167
8097,2002,2.5601733
8097,2007,1.400076
8097,2012,.84045678
8099,1997,2.1759024
8099,2002,2.5841987
8099,2007,2.0659943
8099,2012,1.2560514
8101,1997,1.9024248
8101,2002,3.500139
8101,2007,2.6362038
8101,2012,1.8372177
8103,1997,3.6320119
8103,2002,3.5154922
8103,2007,1.23676
8103,2012,.71921897
8105,1997,3.6967518
8105,2002,2.1155887
